IdSensore;Tipologia;IdTipologia;UnitaMisura;DataMinimaRT;DataMinimaPubblicazione;DataMassimaRT;UTM Nord;UTM Est;Quota;idStazione;Nome;Provincia;Comune
32376;Velocità Vento;9;m/s;23/11/2017;;06/05/2024;5083535;518233;1158;1679;Sormano rifugio Alpetto;CO;Sormano
32379;Direzione Vento;10;°;23/11/2017;;06/05/2024;5083535;518233;1158;1679;Sormano rifugio Alpetto;CO;Sormano
32382;Precipitazione;2;mm;28/11/2017;;06/05/2024;5083535;518233;1158;1679;Sormano rifugio Alpetto;CO;Sormano
32384;Altezza Neve;4;cm;07/11/2017;;06/05/2024;5102054;482122;1302;1382;Veddasca Monte Cadrigna;VA;Veddasca
32390;Livello Idrometrico;1;cm;15/11/2017;;06/05/2024;5044545;622300;73;1555;Manerba del Garda Dusano;BS;Manerba del Garda
32391;Temperatura;3;°C;15/11/2017;;06/05/2024;5044545;622300;73;1555;Manerba del Garda Dusano;BS;Manerba del Garda
32394;Umidità Relativa;11;%;17/11/2017;;06/05/2024;5044545;622300;73;1555;Manerba del Garda Dusano;BS;Manerba del Garda
32398;Precipitazione;2;mm;15/11/2017;;06/05/2024;5092483;580679;1856;1680;Vilminore di Scalve Presolana;BG;Vilminore di Scalve
32399;Altezza Neve;4;cm;15/11/2017;;06/05/2024;5092483;580679;1856;1680;Vilminore di Scalve Presolana;BG;Vilminore di Scalve
32401;Temperatura;3;°C;15/11/2017;;06/05/2024;5092483;580679;1856;1680;Vilminore di Scalve Presolana;BG;Vilminore di Scalve
32404;Umidità Relativa;11;%;15/11/2017;;06/05/2024;5092483;580679;1856;1680;Vilminore di Scalve Presolana;BG;Vilminore di Scalve
32407;Direzione Vento;10;°;15/11/2017;;06/05/2024;5092483;580679;1856;1680;Vilminore di Scalve Presolana;BG;Vilminore di Scalve
32410;Velocità Vento;9;m/s;15/11/2017;;06/05/2024;5092483;580679;1856;1680;Vilminore di Scalve Presolana;BG;Vilminore di Scalve
32413;Radiazione Globale;12;W/m²;15/11/2017;;06/05/2024;5092483;580679;1856;1680;Vilminore di Scalve Presolana;BG;Vilminore di Scalve
